TransactionID,Timestamp,AccountID,AccountName,OldBalance,NewBalance,Amount,CardUsed,TransactionMode,Location,MerchantCategory,DeviceType,UserBehaviorScore,TransactionStatus,AmountTaken,Hour,IsFraud,Risk,Probability
TXN00001,2025-12-06 07:49:47,ACC001,Customer 1,24938,22355,738,Virtual Card,ATM Withdrawal,UK,Utilities,POS Terminal,0.15363797735770918,Completed,738,7,1,HIGH,90.09008838603837
TXN00002,2025-11-22 10:49:47,ACC001,Customer 1,24664,21009,1375,Debit Card,POS Swipe,Florida,Retail,Mobile,0.9316480638569077,Completed,1375,10,0,LOW,29.991142556339977
TXN00003,2025-11-29 07:49:47,ACC001,Customer 1,2636,23376,4502,Debit Card,Mobile Payment,Germany,E-commerce,Tablet,0.41294419164327467,Completed,4502,7,1,HIGH,94.17816538147926
TXN00004,2025-12-06 03:49:47,ACC001,Customer 1,21080,44091,708,Debit Card,Online Transfer,China,Travel,Desktop,0.1902645373198027,Completed,708,3,0,MEDIUM,15.828045125197374
TXN00005,2025-12-07 14:49:47,ACC001,Customer 1,28728,3780,405,Credit Card,Mobile Payment,Russia,ATM,ATM,0.5324258656758298,Completed,405,14,1,HIGH,94.60275797591245
TXN00006,2025-11-11 09:49:47,ACC001,Customer 1,27736,1368,4181,Prepaid Card,ATM Withdrawal,Germany,Retail,Desktop,0.32853114527125205,Completed,4181,9,0,MEDIUM,38.42711790197461
TXN00007,2025-12-09 17:49:47,ACC001,Customer 1,29673,11039,4370,Debit Card,Online Transfer,Texas,Retail,ATM,0.3535368827461113,Completed,4370,17,1,HIGH,85.86678183134853
TXN00008,2025-11-14 23:49:47,ACC001,Customer 1,38505,5655,2512,Debit Card,POS Swipe,Germany,ATM,Desktop,0.3734880687843951,Pending,2512,23,0,MEDIUM,5.054778681701552
TXN00009,2025-12-05 12:49:47,ACC001,Customer 1,48323,39941,1829,Corporate Card,Online Transfer,New York,E-commerce,POS Terminal,0.8146930490710704,Completed,1829,12,1,HIGH,92.04819395761609
TXN00010,2025-11-21 03:49:47,ACC001,Customer 1,47645,3495,727,Credit Card,Mobile Payment,Florida,Retail,POS Terminal,0.5798535362409765,Completed,727,3,0,LOW,6.789738350473526
TXN00011,2025-12-01 15:49:47,ACC002,Customer 2,1854,9893,2792,Debit Card,Online Transfer,California,ATM,POS Terminal,0.3770638522488432,Completed,2792,15,1,HIGH,74.05583514456198
TXN00012,2025-11-26 19:49:47,ACC002,Customer 2,25548,24547,4956,Debit Card,Online Transfer,Illinois,Retail,Mobile,0.6431970671467173,Completed,4956,19,1,HIGH,70.31518799939397
TXN00013,2025-11-21 11:49:47,ACC002,Customer 2,39623,21386,3587,Prepaid Card,Online Transfer,California,Entertainment,ATM,0.7373741000586422,Completed,3587,11,1,HIGH,83.99389209095956
